,STATION,geo,CensusTract
217,FLUSHING-MAIN,"(40.745630001138395, -73.90298400173006)",36081026100
218,FORDHAM RD,"(40.745630001138395, -73.90298400173006)",36081026100
219,FOREST AVE,"(40.70291899894902, -73.90758199885423)",36081054900
220,FOREST HILLS 71,"(40.710517502784, -73.79347419927721)",36081046000
221,FRANKLIN AV,"(40.58538569133279, -73.82052058959523)",36081094201
222,FRANKLIN ST,"(40.745630001138395, -73.90298400173006)",36081026100
223,FREEMAN ST,"(40.745630001138395, -73.90298400173006)",36081026100
224,FRESH POND RD,"(40.76814100049679, -73.96387000158042)",36061012000
225,FT HAMILTON PKY,"(40.76814100049679, -73.96387000158042)",36061012000
226,FULTON ST,"(40.67731566735096, -73.98310999909673)",36047011900
227,GATES AV,"(40.762526000304575, -73.9679670004732)",36061011402
228,GRAHAM AV,"(40.745630001138395, -73.90298400173006)",36081026100
229,GRAND ARMY PLAZ,"(40.66003568810021, -73.97973580592873)",36047016900
230,GRAND ST,"(40.747768121414325, -73.94605470266329)",36081000700
231,GRAND-NEWTOWN,"(40.747768121414325, -73.94605470266329)",36081000700
232,GRANT AV,"(40.747768121414325, -73.94605470266329)",36081000700
233,GRD CNTRL-42 ST,"(40.75180742981634, -73.9767132992584)",36061009200
234,GREENPOINT AV,"(40.68152000045683, -73.87962599910783)",36047117400
235,GROVE STREET,"(40.877839385172024, -73.86613410538703)",36005037800
236,GUN HILL RD,"(40.877839385172024, -73.86613410538703)",36005037800
237,HALSEY ST,"(40.71830605618619, -73.98740940202974)",36061001402
238,HARLEM 148 ST,"(40.67936600147369, -73.90428999746412)",36047040500
239,HARRISON,"(40.75172999941711, -73.85533399834884)",36081040100
240,HEWES ST,"(40.64512351894373, -73.94884798381702)",36047082600
241,HIGH ST,"(40.66914500061398, -73.9019160004208)",36047090800
242,HOUSTON ST,"(40.681711001091195, -73.83768300060997)",36081009400
243,HOWARD BCH JFK,"(40.73233799774325, -74.00049500225435)",36061007100
244,HOYT ST,"(40.66914500061398, -73.9019160004208)",36047090800
245,HOYT-SCHER,"(40.67936600147369, -73.90428999746412)",36047040500
246,HUNTERS PT AV,"(40.732254493367876, -74.00030814755975)",36061006500
247,HUNTS POINT AV,"(40.732254493367876, -74.00030814755975)",36061006500
248,INTERVALE AV,"(40.58538569133279, -73.82052058959523)",36081094201
249,INWOOD-207 ST,"(40.73309737380972, -73.86943208612348)",36081068300
250,JACKSON AV,"(40.71880300107709, -74.00019299927328)",36061004500
251,JAMAICA 179 ST,"(40.6615297898075, -73.91633025007947)",36047089400
252,JAMAICA CENTER,"(40.750635651014804, -73.9401635351909)",36081001900
253,JAMAICA VAN WK,"(40.6616334551018, -73.96203130426609)",36047032700
254,JAY ST-METROTEC,"(40.75698735912575, -73.9205264716827)",36081015700
255,JEFFERSON ST,"(40.75698735912575, -73.9205264716827)",36081015700
256,JFK JAMAICA CT1,"(40.690648119969794, -73.98177094440949)",36047003100
257,JKSN HT-ROOSVLT,"(40.75698735912575, -73.9205264716827)",36081015700
258,JOURNAL SQUARE,"(40.58538569133279, -73.82052058959523)",36081094201
259,JUNCTION BLVD,"(40.58538569133279, -73.82052058959523)",36081094201
260,JUNIUS ST,"(40.681711001091195, -73.83768300060997)",36081009400
261,KEW GARDENS,"(40.603258405128265, -73.9723553085244)",36047041401
262,KINGS HWY,"(40.76456552501829, -73.98072973372128)",36061013700
263,KINGSBRIDGE RD,"(40.75172999941711, -73.85533399834884)",36081040100
264,KINGSTON AV,"(40.67991899941601, -73.94085899871263)",36047026900
265,KINGSTON-THROOP,"(40.63147876093745, -73.99534882595742)",36047024000
266,KNICKERBOCKER,"(40.724479997808274, -73.95118300016523)",36047056900
267,KOSCIUSZKO ST,"(40.714034819571026, -73.8303702709878)",36081021600
268,LACKAWANNA,"(40.64390459860419, -73.96435779623125)",36047152200
269,LAFAYETTE AV,"(40.70291899894902, -73.90758199885423)",36081054900
270,LEXINGTON AV/53,"(40.6663149325969, -73.88411070800329)",36047112400
271,LEXINGTON AV/63,"(40.6663149325969, -73.88411070800329)",36047112400
272,LIBERTY AV,"(40.861295998683495, -73.89774900102401)",36005023702
273,LIVONIA AV,"(40.67802821447783, -73.89165772702445)",36047119800
